Batch size: 256
Timestamp: 2025-09-05T10:57:51.762Z
Account: 0x063db350e4a19fb0cbb4edb7a6f546e28399b19c13eaa4fac304d0a6dbaeda62
Concurrency: 16
FeeToken: ETH  (maxFee buffer 30%)
tx_hash, status, block_number
0x21615eaf5ad1771e0881ab58da856e39afa1d5b38eb9c5775c9c33efecb6c88, ACCEPTED_ON_L2, 1891463
0x5839f6c93a3135ee194dc14f38c60591462b71340af6a425679c95ce06b02c7, ACCEPTED_ON_L2, 1891463
0x2ed9bde3d3bc0003352f31daf38178745f0f7b70b6015e8ec2a75c96e144b6a, ACCEPTED_ON_L2, 1891463
0x47d7dd7f6b029c18e1715c1710be8c140e9b3531067031f2ff8a4198cdaa785, ACCEPTED_ON_L2, 1891463
0x50edbbf4c0eb5cb285fa74379cf2bd3944a3644ebab92283ee72a673575f522, ACCEPTED_ON_L2, 1891464
0x50bbfe037745c63d1ac29e4cb18a00a3a75cc85449d2a5fe34458bd3558ea71, ACCEPTED_ON_L2, 1891464
0x2a3734368a3fc5e2552befce33e2989c82e089ac37acf948675063632678d50, ACCEPTED_ON_L2, 1891464
0x58ae7e09e46c11014a970ea4cbfbe172c5efbefa482ac97d51c6a5ee05fc06f, ACCEPTED_ON_L2, 1891464
0x1e340e32c4e35f5e37edba5e6a76c0d9192a73c27dc7243e003b6fd447cc11d, ACCEPTED_ON_L2, 1891464
0x5e06dcacd8f17084f8fc98fdf47bafbf80f7e1b9fb3144cbbd60b4c6f1ce2fc, ACCEPTED_ON_L2, 1891464
0x18470df8a368039a46f9228e367303f2f2cde225e88892741b06eb5f18e4cad, ACCEPTED_ON_L2, 1891465
0x7c1f0178e1e200e66f53e28f3965b9f3c2ca53901a694dd7e805bb4e767814e, ACCEPTED_ON_L2, 1891465
0x20ee4997287b3a5d5b1fce7ae3f0237e85d363ecf93570b4c48320a5b697373, ACCEPTED_ON_L2, 1891465
0x352033c838ff2b3bf483270b23886fef98ce7fcca292e4cb3f40121fe6e098d, ACCEPTED_ON_L2, 1891465
0x1cb922ef014c6188b630765c625cdcbbaccd4cfc6a193d7bc55dadd64433153, ACCEPTED_ON_L2, 1891465
0xdb2f733b9c2b12771c75aad46475c382ac8382362a9244fec96fee35e54081, ACCEPTED_ON_L2, 1891466
0x7877926d61154bc01f4cc04732f57ba6e8b3b3ed59818c8602c0a89b059a25b, ACCEPTED_ON_L2, 1891466
0x4fdb9270172bef784b64c0f6e9a1414044821437aec867871348bd13c379f81, ACCEPTED_ON_L2, 1891466
0x7690fa3bff01bd128e63d09a9639f1b422341e3433ca40b440f98f68ca7da70, ACCEPTED_ON_L2, 1891466
0x6dccb0ed15f2df0cfcbb923fa3beb47b6b74ae9411d7f77c053d97146f41585, ACCEPTED_ON_L2, 1891466
0x30c1b193cca3f7b7bc981a7f8c5f3d8e0e82daa98d0f593b4a12821eb15b519, ACCEPTED_ON_L2, 1891467
0x7a17c56f1daaea80d8774772089d566ac26e38a3cde3d92860e0c40179bfbf, ACCEPTED_ON_L2, 1891467
0x7e153e7b54a6ff869d70120aaa7b6f13c50c25f6a18d605582b3161336b90da, ACCEPTED_ON_L2, 1891467
0x11df5d8a9d3280be63ee2c2b1ec6557590d879ea79f196c7b63bf26965ec2d3, ACCEPTED_ON_L2, 1891467
0x1df9c25a639aabbc58e386bd5af70273d1291854cd5fa76e6c3b87341ef00ea, ACCEPTED_ON_L2, 1891467
0x16bf66c61c6c5ea7b31acf7cf8bc0d9971b28a060b2d72c20f80909e73bdecf, ACCEPTED_ON_L2, 1891468
0x5e7ced6e1930f790acc644e1be5fbff6a1f703853227ab992fe6e552b6ae305, ACCEPTED_ON_L2, 1891468
0x256ba05189ed9b7c7b68c75ad9b6873b26f98ccee67eba1c17304c1af86c5e0, ACCEPTED_ON_L2, 1891468
0x4b8791216441839726d3532931d252c6464eca431c337edcb24cc84683962cc, ACCEPTED_ON_L2, 1891468
0x677c679c967bce17936b7c5191e9b7823f24cb0021270b645dd611e818c4d56, ACCEPTED_ON_L2, 1891468
0x71333e3a695b3a7b8e00db5377964a4d3a1c481fca2a016c2d19c9222c0d22, ACCEPTED_ON_L2, 1891469
0x6ddefb48373ab5724da3358ef7a257738ada0bf5b2b570ac93e90e725393548, ACCEPTED_ON_L2, 1891469
0xc10b442b173570ed1314a5961564bdc1de7b0d6d129c5050621e42086a890, ACCEPTED_ON_L2, 1891469
0x1691bd43d44045aa1ddc27723c5e93f036b51143e7bce7e190e5adfb802e9a5, ACCEPTED_ON_L2, 1891469
0x6b6658cd84b88ccc3422e24f94376013ee9bb8f1395ec3ef22b19ae82de8612, ACCEPTED_ON_L2, 1891469
0x13e8c631ce8df1dfc2007a98162e7d067d7b6d617ed845788964106d31528d, ACCEPTED_ON_L2, 1891470
0x3e899b1454b76975a512ff2d376f561c5df3a923fcf8e6c94722cbe39c3d9eb, ACCEPTED_ON_L2, 1891470
0x5dc90b7c734dcf20b66f6c42865f9c706b3845d791de83b88c9b09389493e15, ACCEPTED_ON_L2, 1891470
0x8de5eeabfe27ae4b1ca09a91ff78e161cbf820a37d69adf78cfcdc6fb19670, ACCEPTED_ON_L2, 1891470
0x7d8eff5d49e40a5486837142b3b35e9e4e82d8c3ea77e0cd12f627c7e6a1b06, ACCEPTED_ON_L2, 1891470
0x3f011020d3ef3cf933787c7bb65795998bf1b099a1b5784f749677d9b83121d, ACCEPTED_ON_L2, 1891471
0x3b4d7953975a3bd0adc64926457083a89d9c3192e7157b85074fc39c44492c9, ACCEPTED_ON_L2, 1891471
0x57a6caa7fbf314d8c84bc4919ffe68a5e55f2ae18bec9247c218f17ee881449, ACCEPTED_ON_L2, 1891471
0x563319e4b6549edf3cdc1e3225a2fa953ab90eef078daabfbf4aeda0b652c34, ACCEPTED_ON_L2, 1891471
